,Gender,Height,Weight,Index,Obese
0,Male,174,96,4,1
1,Male,189,87,2,0
2,Female,185,110,4,1
3,Female,195,104,3,0
4,Male,149,61,3,0
5,Male,189,104,3,0
6,Male,147,92,5,1
7,Male,154,111,5,1
8,Male,174,90,3,0
9,Female,169,103,4,1
10,Male,195,81,2,0
11,Female,159,80,4,1
12,Female,192,101,3,0
13,Male,155,51,2,0
14,Male,191,79,2,0
15,Female,153,107,5,1
16,Female,157,110,5,1
17,Male,140,129,5,1
18,Male,144,145,5,1
19,Male,172,139,5,1
20,Male,157,110,5,1
21,Female,153,149,5,1
22,Female,169,97,4,1
23,Male,185,139,5,1
24,Female,172,67,2,0
25,Female,151,64,3,0
26,Male,190,95,3,0
27,Male,187,62,1,0
28,Female,163,159,5,1
29,Male,179,152,5,1
30,Male,153,121,5,1
31,Male,178,52,1,0
32,Female,195,65,1,0
33,Female,160,131,5,1
34,Female,157,153,5,1
35,Female,189,132,4,1
36,Female,197,114,3,0
37,Male,144,80,4,1
38,Female,171,152,5,1
39,Female,185,81,2,0
40,Female,175,120,4,1
41,Female,149,108,5,1
42,Male,157,56,2,0
43,Male,161,118,5,1
44,Female,182,126,4,1
45,Male,185,76,2,0
46,Female,188,122,4,1
47,Male,181,111,4,1
48,Male,161,72,3,0
49,Male,140,152,5,1
50,Female,168,135,5,1
51,Female,176,54,1,0
52,Male,163,110,5,1
53,Male,172,105,4,1
54,Male,196,116,4,1
55,Female,187,89,3,0
56,Male,172,92,4,1
57,Male,178,127,5,1
58,Female,164,70,3,0
59,Male,143,88,5,1
60,Female,191,54,0,0
61,Female,141,143,5,1
62,Male,193,54,0,0
63,Male,190,83,2,0
64,Male,175,135,5,1
65,Female,179,158,5,1
66,Female,172,96,4,1
67,Female,168,59,2,0
68,Female,164,82,4,1
69,Female,194,136,4,1
70,Female,153,51,2,0
71,Male,178,117,4,1
72,Male,141,80,5,1
73,Male,180,75,2,0
74,Female,185,100,3,0
75,Female,197,154,4,1
76,Male,165,104,4,1
77,Female,168,90,4,1
78,Female,176,122,4,1
79,Male,181,51,0,0
80,Male,164,75,3,0
81,Female,166,140,5,1
82,Female,190,105,3,0
83,Male,186,118,4,1
84,Male,168,123,5,1
85,Male,198,50,0,0
86,Female,175,141,5,1
87,Male,145,117,5,1
88,Female,159,104,5,1
89,Female,185,140,5,1
90,Female,178,154,5,1
91,Female,183,96,3,0
92,Female,194,111,3,0
93,Male,177,61,2,0
94,Male,197,119,4,1
95,Female,170,156,5,1
96,Male,142,69,4,1
97,Male,160,139,5,1
98,Male,195,69,1,0
99,Female,190,50,0,0
100,Male,199,156,4,1
101,Male,154,105,5,1
102,Male,161,155,5,1
103,Female,198,145,4,1
104,Female,192,140,4,1
105,Male,195,126,4,1
106,Male,166,160,5,1
107,Male,159,154,5,1
108,Female,181,106,4,1
109,Male,149,66,3,0
110,Female,150,70,4,1
111,Female,146,157,5,1
112,Male,190,135,4,1
113,Female,192,90,2,0
114,Female,177,96,4,1
115,Male,148,60,3,0
116,Female,165,57,2,0
117,Female,146,104,5,1
118,Male,144,108,5,1
119,Female,176,156,5,1
120,Female,168,87,4,1
121,Male,187,122,4,1
122,Male,187,138,4,1
123,Female,184,160,5,1
124,Female,158,149,5,1
125,Male,158,96,4,1
126,Male,194,115,4,1
127,Female,145,79,4,1
128,Male,182,151,5,1
129,Male,154,54,2,0
130,Female,168,139,5,1
131,Female,187,70,2,0
132,Female,158,153,5,1
133,Female,167,110,4,1
134,Female,171,155,5,1
135,Female,183,150,5,1
136,Female,190,156,5,1
137,Male,194,108,3,0
138,Male,171,147,5,1
139,Male,159,124,5,1
140,Female,169,54,2,0
141,Female,167,85,4,1
142,Male,180,149,5,1
143,Male,163,123,5,1
144,Male,140,79,5,1
145,Male,197,125,4,1
146,Male,194,106,3,0
147,Female,140,146,5,1
148,Male,195,98,3,0
149,Female,168,115,3,0
150,Female,196,50,0,0
151,Male,140,52,3,0
152,Female,150,60,3,0
153,Female,168,140,5,1
154,Female,155,111,5,1
155,Female,179,103,4,1
156,Female,182,84,3,0
157,Male,168,160,5,1
158,Female,187,102,3,0
159,Male,181,105,4,1
160,Male,199,99,2,0
161,Female,184,76,2,0
162,Male,192,101,3,0
163,Female,182,143,5,1
164,Female,172,111,4,1
165,Male,181,78,2,0
166,Male,176,109,4,1
167,Female,156,106,5,1
168,Female,151,67,3,0
169,Female,188,80,2,0
170,Male,187,136,4,1
171,Male,174,138,5,1
172,Male,167,151,5,1
173,Female,196,131,4,1
174,Male,197,149,4,1
175,Female,185,119,4,1
176,Female,170,102,4,1
177,Female,181,94,3,0
178,Female,166,126,5,1
179,Male,188,100,3,0
180,Female,162,74,3,0
181,Male,177,117,4,1
182,Male,162,97,4,1
183,Male,180,73,2,0
184,Female,192,108,3,0
185,Male,165,80,3,0
186,Female,167,135,5,1
187,Female,182,84,3,0
188,Female,161,134,5,1
189,Male,158,95,4,1
190,Male,141,85,5,1
191,Male,154,100,5,1
192,Male,165,105,4,1
193,Female,142,137,5,1
194,Male,141,94,5,1
195,Male,145,108,5,1
196,Male,157,74,4,1
197,Female,177,117,4,1
198,Female,166,144,5,1
199,Male,193,151,5,1
200,Male,184,57,1,0
201,Male,179,93,3,0
202,Female,156,89,4,1
203,Male,182,104,4,1
204,Male,145,160,5,1
205,Female,150,87,4,1
206,Male,145,99,5,1
207,Female,196,122,4,1
208,Male,191,96,3,0
209,Female,148,67,4,1
210,Female,150,84,4,1
211,Male,148,155,5,1
212,Female,153,146,5,1
213,Female,196,159,5,1
214,Female,185,52,0,0
215,Female,171,131,5,1
216,Female,143,118,5,1
217,Female,142,86,5,1
218,Female,141,126,5,1
219,Male,159,109,5,1
220,Female,173,82,2,0
221,Male,183,138,5,1
222,Female,152,90,4,1
223,Male,178,140,5,1
224,Male,188,54,0,0
225,Female,155,144,5,1
226,Male,166,70,3,0
227,Male,188,123,4,1
228,Female,171,120,5,1
229,Male,179,130,5,1
230,Female,186,137,4,1
231,Female,153,78,2,0
232,Female,184,86,3,0
233,Female,177,81,3,0
234,Male,145,78,4,1
235,Male,170,81,3,0
236,Male,181,141,5,1
237,Male,165,155,5,1
238,Female,174,65,2,0
239,Female,146,110,5,1
240,Male,178,85,3,0
241,Male,166,61,2,0
242,Male,191,62,1,0
243,Female,177,155,5,1
244,Female,183,50,0,0
245,Male,151,114,5,1
246,Male,182,98,3,0
247,Female,142,159,5,1
248,Female,188,90,3,0
249,Male,161,89,4,1
250,Male,153,70,3,0
251,Male,140,143,5,1
252,Male,169,141,5,1
253,Female,162,159,5,1
254,Male,183,147,5,1
255,Female,162,58,2,0
256,Female,172,109,4,1
257,Female,150,119,5,1
258,Female,169,145,5,1
259,Female,184,132,4,1
260,Male,159,104,5,1
261,Male,163,131,5,1
262,Male,156,137,5,1
263,Female,157,52,2,0
264,Male,147,84,4,1
265,Male,141,86,5,1
266,Male,173,139,5,1
267,Male,154,145,5,1
268,Male,168,148,5,1
269,Male,168,50,1,0
270,Male,145,130,5,1
271,Male,152,103,5,1
272,Female,187,121,4,1
273,Female,163,57,0,0
274,Male,178,83,3,0
275,Female,187,94,3,0
276,Female,179,114,4,1
277,Male,190,80,2,0
278,Male,172,75,3,0
279,Male,188,57,1,0
280,Male,193,65,1,0
281,Female,147,126,5,1
282,Female,147,94,5,1
283,Male,166,107,4,1
284,Female,192,139,4,1
285,Male,181,139,4,1
286,Male,150,74,4,1
287,Male,178,160,5,1
288,Female,156,52,2,0
289,Male,149,100,5,1
290,Male,156,74,4,1
291,Male,183,105,3,0
292,Female,162,68,3,0
293,Female,165,83,4,1
294,Female,168,143,5,1
295,Male,160,156,5,1
296,Female,169,88,2,0
297,Female,140,76,4,1
298,Female,187,92,3,0
299,Male,151,82,4,1
300,Female,186,140,5,1
301,Male,182,108,4,1
302,Male,188,81,2,0
303,Male,179,110,4,1
304,Female,156,126,5,1
305,Male,188,114,4,1
306,Male,183,153,5,1
307,Male,144,88,5,1
308,Male,196,69,1,0
309,Male,171,141,5,1
310,Male,171,147,5,1
311,Female,180,156,5,1
312,Male,191,146,5,1
313,Female,179,67,2,0
314,Female,180,60,2,0
315,Female,154,132,5,1
316,Male,188,99,3,0
317,Male,142,135,5,1
318,Male,170,95,4,1
319,Male,152,141,5,1
320,Female,190,118,4,1
321,Female,181,111,4,1
322,Male,153,104,5,1
323,Male,187,140,5,1
324,Female,144,66,4,1
325,Female,148,54,2,0
326,Female,199,92,2,0
327,Female,167,85,4,1
328,Female,164,71,3,0
329,Female,185,102,3,0
330,Female,164,160,5,1
331,Male,142,71,4,1
332,Male,165,68,2,0
333,Female,172,62,2,0
334,Female,157,56,2,0
335,Male,155,57,2,0
336,Female,167,153,5,1
337,Female,164,126,5,1
338,Female,189,125,4,1
339,Female,161,145,5,1
340,Female,155,71,3,0
341,Female,171,118,4,1
342,Female,154,92,4,1
343,Male,179,83,3,0
344,Male,170,115,4,1
345,Female,184,106,4,1
346,Female,191,68,2,0
347,Male,162,58,2,0
348,Male,178,138,5,1
349,Female,157,60,2,0
350,Male,184,83,2,0
351,Male,197,88,2,0
352,Female,160,51,2,0
353,Male,184,153,5,1
354,Male,190,50,0,0
355,Male,174,90,3,0
356,Female,189,124,4,1
357,Female,186,143,5,1
358,Female,180,58,1,0
359,Female,186,148,4,1
360,Female,193,61,1,0
361,Male,161,103,4,1
362,Female,151,158,5,1
363,Female,195,147,4,1
364,Female,184,152,5,1
365,Male,141,80,5,1
366,Female,185,94,3,0
367,Female,186,127,4,1
368,Male,142,131,5,1
369,Female,147,67,4,1
370,Male,151,62,3,0
371,Female,160,124,5,1
372,Male,185,60,1,0
373,Female,163,63,2,0
374,Male,174,95,4,1
375,Female,150,144,5,1
376,Male,142,91,5,1
377,Male,178,142,5,1
378,Female,154,96,5,1
379,Male,176,87,3,0
380,Male,159,120,5,1
381,Male,191,62,1,0
382,Male,177,117,4,1
383,Male,151,154,5,1
384,Female,182,149,5,1
385,Female,197,72,2,0
386,Male,146,138,5,1
387,Female,160,83,4,1
388,Female,157,66,3,0
